CaseId,b52,b73,pid,flow,cost
63, 300, 400, 1,115.9644, 47.0637
63, 300, 400, 2,121.5611, 45.0129
63, 300, 400, 3,124.9711, 34.0637
63, 300, 400, 4,146.0623, 30.9447
63, 300, 400, 5, 59.9821, 47.9323
63, 300, 400, 6,133.0895, 44.0283
63, 300, 400, 7,149.7186, 39.0637
63, 300, 400, 8,175.0304, 32.0637
63, 300, 400, 9,194.4446, 29.9600
64, 350,   0, 1,120.2606, 46.7196
64, 350,   0, 2,125.0514, 45.0015
64, 350,   0, 3,133.2010, 33.7196
64, 350,   0, 4,  0.0000, 30.4313
64, 350,   0, 5, 70.9026, 47.4307
64, 350,   0, 6,154.1718, 44.0023
64, 350,   0, 7,174.1909, 38.7196
64, 350,   0, 8,216.7967, 31.7196
64, 350,   0, 9,  0.0000, 29.4321
65, 350,  50, 1, 61.8190, 44.8178
65, 350,  50, 2, 60.2709, 45.0001
65, 350,  50, 3, 21.2535, 31.8178
65, 350,  50, 4, 23.8867, 29.4818
65, 350,  50, 5, 22.7949, 46.4817
65, 350,  50, 6, 48.8790, 44.0001
65, 350,  50, 7, 60.5660, 36.8178
65, 350,  50, 8, 24.4234, 29.8178
65, 350,  50, 9, 26.1107, 28.4818
66, 350, 100, 1, 71.7557, 45.2127
66, 350, 100, 2, 70.5327, 45.0005
66, 350, 100, 3, 40.2876, 32.2127
66, 350, 100, 4, 45.5995, 29.7357
66, 350, 100, 5, 28.8925, 46.7352
66, 350, 100, 6, 62.2192, 44.0005
66, 350, 100, 7, 76.1626, 37.2127
66, 350, 100, 8, 50.5266, 30.2127
66, 350, 100, 9, 54.3993, 28.7357
67, 350, 150, 1, 80.6010, 45.6056
67, 350, 150, 2, 80.0704, 45.0012
67, 350, 150, 3, 57.2311, 32.6056
67, 350, 150, 4, 65.2294, 29.9894
67, 350, 150, 5, 35.5016, 46.9883
67, 350, 150, 6, 76.8808, 44.0017
67, 350, 150, 7, 92.6325, 37.6056
67, 350, 150, 8, 78.1934, 30.6056
67, 350, 150, 9, 84.7723, 28.9900
68, 350, 200, 1, 88.4192, 45.9966
68, 350, 200, 2, 88.8933, 45.0023
68, 350, 200, 3, 72.2072, 32.9966
68, 350, 200, 4, 82.8656, 30.2430
